ID	group	value	time	liking
220	3	deval	post	0
220	3	val	post	4
220	3	hunger	post	4
220	3	deval	afterExperiment	1
220	3	val	afterExperiment	3
220	3	hunger	afterExperiment	4
221	3	deval	pre	5
221	3	val	pre	5
221	3	hunger	pre	9
221	3	deval	post	-4
221	3	val	post	-1
221	3	hunger	post	4
221	3	deval	afterExperiment	-3
221	3	val	afterExperiment	0
221	3	hunger	afterExperiment	5
223	3	deval	pre	4
223	3	val	pre	4
223	3	hunger	pre	9
223	3	deval	post	1
223	3	val	post	1
223	3	hunger	post	6
223	3	deval	afterExperiment	0
223	3	val	afterExperiment	3
223	3	hunger	afterExperiment	7
224	3	deval	pre	5
224	3	val	pre	5
224	3	hunger	pre	10
224	3	deval	post	-5
224	3	val	post	2
224	3	hunger	post	6
224	3	deval	afterExperiment	-5
224	3	val	afterExperiment	3
224	3	hunger	afterExperiment	6
225	3	deval	pre	5
225	3	val	pre	5
225	3	hunger	pre	8
225	3	deval	post	2
225	3	val	post	4
225	3	hunger	post	3
225	3	deval	afterExperiment	-4
225	3	val	afterExperiment	3
225	3	hunger	afterExperiment	4
227	3	deval	pre	4
227	3	val	pre	5
227	3	hunger	pre	10
227	3	deval	post	-2
227	3	val	post	3
227	3	hunger	post	6
227	3	deval	afterExperiment	-3
227	3	val	afterExperiment	2
227	3	hunger	afterExperiment	4
229	3	deval	pre	4
229	3	val	pre	4
229	3	hunger	pre	9
229	3	deval	post	-4
229	3	val	post	-3
229	3	hunger	post	2
229	3	deval	afterExperiment	-5
229	3	val	afterExperiment	-5
229	3	hunger	afterExperiment	1
230	3	deval	pre	5
230	3	val	pre	5
230	3	hunger	pre	9
230	3	deval	post	3
230	3	val	post	5
230	3	hunger	post	4
230	3	deval	afterExperiment	2
230	3	val	afterExperiment	4
230	3	hunger	afterExperiment	4
232	3	deval	pre	4
232	3	val	pre	4
232	3	hunger	pre	9
232	3	deval	post	1
232	3	val	post	3
232	3	hunger	post	6
232	3	deval	afterExperiment	-3
232	3	val	afterExperiment	-2
232	3	hunger	afterExperiment	5
234	3	deval	pre	5
234	3	val	pre	5
234	3	hunger	pre	9
234	3	deval	post	-4
234	3	val	post	0
234	3	hunger	post	5
234	3	deval	afterExperiment	-4
234	3	val	afterExperiment	2
234	3	hunger	afterExperiment	5
235	3	deval	pre	3
235	3	val	pre	2
235	3	hunger	pre	7
235	3	deval	post	-3
235	3	val	post	-3
235	3	hunger	post	2
235	3	deval	afterExperiment	-3
235	3	val	afterExperiment	-2
235	3	hunger	afterExperiment	2
238	3	deval	pre	4
238	3	val	pre	4
238	3	hunger	pre	6
238	3	deval	post	1
238	3	val	post	2
238	3	hunger	post	7
238	3	deval	afterExperiment	-2
238	3	val	afterExperiment	1
238	3	hunger	afterExperiment	5
239	3	deval	pre	2
239	3	val	pre	3
239	3	hunger	pre	3
239	3	deval	post	1
239	3	val	post	2
239	3	hunger	post	2
239	3	deval	afterExperiment	2
239	3	val	afterExperiment	4
239	3	hunger	afterExperiment	3
240	3	deval	pre	5
240	3	val	pre	4
240	3	hunger	pre	10
240	3	deval	post	5
240	3	val	post	5
240	3	hunger	post	2
240	3	deval	afterExperiment	-5
240	3	val	afterExperiment	-5
240	3	hunger	afterExperiment	1
241	3	deval	pre	4
241	3	val	pre	5
241	3	hunger	pre	6
241	3	deval	post	-3
241	3	val	post	2
241	3	hunger	post	4
241	3	deval	afterExperiment	-4
241	3	val	afterExperiment	-2
241	3	hunger	afterExperiment	3
242	3	deval	pre	4
242	3	val	pre	3
242	3	hunger	pre	2
242	3	deval	post	-2
242	3	val	post	3
242	3	hunger	post	1
242	3	deval	afterExperiment	2
242	3	val	afterExperiment	3
242	3	hunger	afterExperiment	1
243	3	deval	pre	1
243	3	val	pre	2
243	3	hunger	pre	7
243	3	deval	post	-1
243	3	val	post	1
243	3	hunger	post	3
243	3	deval	afterExperiment	-2
243	3	val	afterExperiment	1
243	3	hunger	afterExperiment	3
245	3	deval	pre	5
245	3	val	pre	5
245	3	hunger	pre	1
245	3	deval	post	3
245	3	val	post	5
245	3	hunger	post	1
245	3	deval	afterExperiment	5
245	3	val	afterExperiment	5
245	3	hunger	afterExperiment	1
247	3	deval	pre	2
247	3	val	pre	4
247	3	hunger	pre	7
247	3	deval	post	-1
247	3	val	post	3
247	3	hunger	post	3
247	3	deval	afterExperiment	-3
247	3	val	afterExperiment	2
247	3	hunger	afterExperiment	4
248	3	deval	pre	5
248	3	val	pre	5
248	3	hunger	pre	9
248	3	deval	post	1
248	3	val	post	2
248	3	hunger	post	5
248	3	deval	afterExperiment	1
